Symbol,logFC,adj.P.Val,adj.P.Val_1_over,adj.P.Val_2_under
JAG1,-3.35691771282046,3.31926492622123e-11,1,3.31926492622123e-11
JAG1,-3.37174968432252,4.5640507422458e-11,1,4.5640507422458e-11
MMP9,-4.62962584193269,4.5640507422458e-11,1,4.5640507422458e-11
TNC,-3.10241325031398,1.9224775991063e-10,1,1.9224775991063e-10
LIF,-3.63371026692293,2.04792906953927e-10,1,2.04792906953927e-10
KRT75,-4.34149667598142,2.04792906953927e-10,1,2.04792906953927e-10
NNMT,2.82134905683743,2.04792906953927e-10,2.04792906953927e-10,1
NNMT,3.10738409668304,2.04792906953927e-10,2.04792906953927e-10,1
FRMD3,3.79904424298438,3.26085286633337e-10,3.26085286633337e-10,1
LYPLA1,2.62988623898947,3.78578278892559e-10,3.78578278892559e-10,1
LINC00973,-4.65065992764968,4.95818476295104e-10,1,4.95818476295104e-10
LINC01029,3.25868769302481,6.06977989356372e-10,6.06977989356372e-10,1
PRSS23,-2.40700998613574,6.36692685571505e-10,1,6.36692685571505e-10
SYNC,-3.27744803882828,7.6985990717286e-10,1,7.6985990717286e-10
WDR72,-5.6626001360387,7.77994090715308e-10,1,7.77994090715308e-10
FKBP11,3.05274811956948,8.90529506847953e-10,8.90529506847953e-10,1
CXCL11,-4.09578927891363,9.70844789869834e-10,1,9.70844789869834e-10
MID1,3.37008802398546,1.23831132857953e-09,1.23831132857953e-09,1
NFKBIZ,-2.71745955001621,1.45560048965406e-09,1,1.45560048965406e-09
DCAF4L2,3.87887359130804,1.45560048965406e-09,1.45560048965406e-09,1
COL5A3,-3.67783090654842,1.97670359998291e-09,1,1.97670359998291e-09
S100A10,-1.55212231964038,1.97670359998291e-09,1,1.97670359998291e-09
COL4A2,-1.70380609375233,1.97670359998291e-09,1,1.97670359998291e-09
TAGLN2,-1.55968604939667,1.97670359998291e-09,1,1.97670359998291e-09
POSTN,-3.47605034891999,1.97670359998291e-09,1,1.97670359998291e-09
JAG1,-3.66769639935591,1.98462326717154e-09,1,1.98462326717154e-09
COL3A1,-4.04812587506169,2.01295585191323e-09,1,2.01295585191323e-09
MID1,3.3668586221734,2.65755683542464e-09,2.65755683542464e-09,1
IMPDH2,1.7243768374987,2.76722665007826e-09,2.76722665007826e-09,1
RPL38,2.43027733663267,2.78938790447056e-09,2.78938790447056e-09,1
MAGEA1,-2.95542172029881,2.78938790447056e-09,1,2.78938790447056e-09
CDH12,-3.54467785657966,2.78938790447056e-09,1,2.78938790447056e-09
GBP3,-2.26787822595113,2.91490751791108e-09,1,2.91490751791108e-09
JPH1,2.72132062402722,3.0763374186046e-09,3.0763374186046e-09,1
DNAJC12,2.48781324699,3.0763374186046e-09,3.0763374186046e-09,1
MALAT1,-3.88031267587237,3.16050155474423e-09,1,3.16050155474423e-09
POSTN,-3.72577614701356,3.34520432073442e-09,1,3.34520432073442e-09
FRMD3,3.21609796049155,3.69330350222607e-09,3.69330350222607e-09,1
PLAC8,6.08231659054202,3.9221232160124e-09,3.9221232160124e-09,1
YWHAE,-2.0606703624567,4.32080384395576e-09,1,4.32080384395576e-09
MINK1,-2.10526881205342,4.32080384395576e-09,1,4.32080384395576e-09
KITLG,-3.52685026048882,4.32080384395576e-09,1,4.32080384395576e-09
SCN3A,-4.0557342844097,4.32080384395576e-09,1,4.32080384395576e-09
XPOT,2.31644331723472,4.37270690137816e-09,4.37270690137816e-09,1
RAP1A,1.70146592964156,4.37270690137816e-09,4.37270690137816e-09,1
IFI44,-4.73107474709042,4.37270690137816e-09,1,4.37270690137816e-09
